,source,target
947,United Kingdom,Solomon Islands
948,Philippines,Solomon Islands
949,Japan,Philippines
950,Japan,Japan
951,Japan,Solomon Islands
952,Japan,Solomon Islands
953,Japan,Japan
954,Japan,Japan
955,Japan,Thailand
956,United Kingdom,Thailand
957,United Kingdom,Singapore
958,United States of America,Singapore
959,United States of America,Japan
960,Japan,Japan
961,United Kingdom,Japan
962,United Kingdom,Solomon Islands
963,Philippines,Solomon Islands
964,Japan,Philippines
965,Japan,Japan
966,Japan,Solomon Islands
967,Japan,Solomon Islands
968,Japan,Japan
969,Japan,Japan
970,Japan,United States of America
971,Japan,United States of America
972,Japan,Japan
973,India,Japan
974,India,Japan
975,United States of America,Japan
976,United States of America,Japan
977,United States of America,Japan
978,United States of America,Japan
979,United Kingdom,Japan
980,United Kingdom,Solomon Islands
981,Philippines,Solomon Islands
982,Japan,Philippines
983,Japan,Japan
984,Japan,Solomon Islands
985,Japan,Solomon Islands
986,Japan,Japan
987,Japan,Japan
988,Japan,United States of America
989,Japan,United States of America
990,Japan,Japan
991,India,Japan
992,India,Japan
993,United States of America,Japan
994,United States of America,Japan
995,United States of America,Japan
996,United States of America,Japan
997,Japan,Japan
998,Japan,Solomon Islands
999,Japan,Solomon Islands
1000,Japan,Japan
1001,Japan,Japan
1002,Japan,United States of America
1003,Japan,United States of America
1004,Japan,Japan
1005,India,Japan
1006,India,Japan
1007,United States of America,Japan
1008,United States of America,Japan
1009,United States of America,Japan
1010,United States of America,Japan
1011,Japan,Japan
1012,Japan,Japan
1013,United States of America,Japan
1014,United States of America,Japan
1015,Japan,United States of America
1016,Japan,United States of America
1017,Japan,Japan
1018,China,Japan
1019,Japan,Solomon Islands
1020,Japan,Solomon Islands
1021,Japan,Japan
1022,Japan,Japan
1023,Japan,United States of America
1024,Japan,United States of America
1025,Japan,Japan
1026,India,Japan
1027,India,Japan
1028,United States of America,Japan
1029,United States of America,Japan
1030,United States of America,Japan
1031,United States of America,Japan
1032,Japan,Japan
1033,Japan,Japan
1034,United States of America,Japan
1035,United States of America,Japan
1036,Japan,United States of America
1037,Japan,United States of America
1038,Japan,Japan
1039,China,Japan
1040,China,Japan
1041,Japan,United States of America
1042,Japan,United States of America
1043,Japan,Japan
1044,Japan,United States of America
1045,Japan,United States of America
1046,Japan,Japan
1047,India,Japan
1048,India,Japan
1049,United States of America,Japan
1050,United States of America,Japan
1051,United States of America,Japan
1052,United States of America,Japan
1053,Japan,Japan
1054,Japan,Japan
1055,United States of America,Japan
1056,United States of America,Japan
1057,Japan,United States of America
1058,Japan,United States of America
1059,Japan,Japan
1060,China,Japan
1061,China,Japan
1062,Japan,United States of America
1063,Japan,United States of America
1064,Japan,United States of America
1065,Japan,Japan
1066,India,Japan
1067,India,Japan
1068,United States of America,Japan
1069,United States of America,Japan
1070,United States of America,Japan
1071,United States of America,Japan
1072,Japan,Japan
1073,Japan,Japan
1074,United States of America,Japan
1075,United States of America,Japan
1076,Japan,United States of America
1077,Japan,United States of America
1078,Japan,Japan
1079,China,Japan
1080,China,Japan
1081,Japan,United States of America
1082,Japan,United States of America
1083,Japan,Japan
1084,United States of America,Japan
1085,United States of America,Japan
1086,Japan,United States of America
1087,Japan,United States of America
1088,Japan,Japan
1089,China,Japan
1090,China,Japan
1091,Japan,United States of America
1092,Japan,United States of America
1093,United States of America,Japan
1094,United States of America,Japan
1095,United States of America,Japan
1096,United States of America,Japan
1097,United States of America,Japan
1098,United States of America,Japan
1099,Japan,United States of America
1100,Japan,United States of America
1101,Japan,Japan
1102,China,Japan
1103,China,Japan
1104,Japan,United States of America
1105,Japan,United States of America
1106,United States of America,Japan
1107,United States of America,Japan
1108,United States of America,Japan
1109,United States of America,Japan
1110,Japan,Japan
1111,Japan,United States of America
1112,Japan,United States of America
1113,United States of America,Japan
1114,United States of America,Japan
1115,United States of America,Japan
1116,United States of America,Japan
1117,Japan,Japan
1118,United States of America,Japan
1119,United States of America,Japan
1120,United States of America,Japan
1121,United States of America,Japan
1122,Japan,Japan
1123,United States of America,Japan
1124,United States of America,Japan
1125,United States of America,Japan
1126,Japan,Japan
1127,Japan,Japan
1128,United States of America,Japan
1129,United States of America,Japan
1130,United States of America,Japan
1131,Japan,Japan
1132,Japan,Japan
1133,Japan,Japan
1134,Germany,Japan
1135,Germany,Japan
1136,Germany,Japan
1137,Germany,Poland
1138,Germany,Poland
1139,Germany,Poland
1140,Poland,Russia
1141,Germany,Russia
1142,Germany,Germany
1143,Poland,Russia
1144,Germany,Russia
1145,Germany,Germany
1146,Poland,Russia
1147,Germany,Russia
1148,Germany,Germany
1149,Poland,Russia
1150,Germany,Russia
1151,Germany,Germany
1152,Germany,Germany
1153,Germany,Germany
1154,Germany,Russia
1155,Germany,Germany
1156,Germany,Germany
1157,Germany,Germany
1158,Germany,Japan
1159,Germany,Russia
1160,Germany,Germany
1161,Germany,Germany
1162,Germany,Germany
1163,Germany,Japan
1164,Japan,Russia
1165,Japan,Russia
1166,Germany,Germany
1167,Germany,Japan
1168,Japan,Russia
1169,Japan,Russia
1170,Germany,Germany
1171,Germany,Japan
1172,Japan,Russia
1173,Japan,Russia
1174,Germany,Germany
1175,Germany,Japan
1176,Japan,Russia
1177,Japan,Russia
1178,Japan,Russia
1179,Japan,Russia
1180,Japan,Russia
1181,Japan,Russia
1182,France,Russia
1183,China,France
1184,China,India
1185,India,Pakistan
1186,Israel,Pakistan
1187,Israel,South Africa
1188,Israel,South Africa
1189,Japan,Russia
1190,France,Russia
1191,China,France
1192,China,India
1193,India,Pakistan
1194,Israel,Pakistan
1195,Israel,South Africa
1196,Israel,South Africa
1197,Israel,Libya
1198,Iran,Libya
1199,France,Russia
1200,China,France
1201,China,India
1202,India,Pakistan
1203,Israel,Pakistan
1204,Israel,South Africa
1205,Israel,South Africa
1206,Israel,Libya
1207,Iran,Libya
1208,France,Russia
1209,China,France
1210,China,India
1211,India,Pakistan
1212,Israel,Pakistan
1213,Israel,South Africa
1214,Israel,South Africa
1215,Israel,Libya
1216,Iran,Libya
1217,Iran,United States of America
1218,France,Russia
1219,China,France
1220,China,India
1221,India,Pakistan
1222,Israel,Pakistan
1223,Israel,South Africa
1224,Israel,South Africa
1225,Israel,Libya
1226,Iran,Libya
1227,Iran,United States of America
1228,Germany,United States of America
1229,France,Germany
1230,France,Russia
1231,China,France
1232,China,India
1233,India,Pakistan
1234,Israel,Pakistan
1235,Israel,South Africa
1236,Israel,South Africa
1237,Israel,Libya
1238,Iran,Libya
1239,Iran,United States of America
1240,Germany,United States of America
1241,France,Germany
1242,France,Russia
1243,Iran,Libya
1244,Iran,United States of America
1245,Germany,United States of America
1246,France,Germany
1247,France,Russia
1248,Japan,Russia
1249,Japan,United States of America
1250,Japan,United States of America
1251,Germany,Japan
1252,Germany,United States of America
1253,France,Germany
1254,France,Russia
1255,Japan,Russia
1256,Japan,United States of America
1257,Japan,United States of America
1258,Germany,Japan
1259,Germany,United States of America
1260,France,Germany
1261,France,Russia
1262,Japan,Russia
1263,Japan,United States of America
1264,Japan,United States of America
1265,Germany,Japan
1266,France,Germany
1267,France,Russia
1268,Japan,Russia
1269,Japan,United States of America
1270,Japan,United States of America
1271,Germany,Japan
1272,Japan,Russia
1273,Japan,United States of America
1274,Japan,United States of America
1275,Germany,Japan
1276,Germany,Papua New Guinea
1277,Japan,United States of America
1278,Japan,United States of America
1279,Germany,Japan
1280,Germany,Papua New Guinea
1281,India,Papua New Guinea
1282,India,Papua New Guinea
1283,United Kingdom,India
1284,United Kingdom,India
1285,India,Pakistan
1286,Pakistan,Philippines
1287,France,Philippines
1288,France,Laos
1289,Cambodia,Laos
1290,Cambodia,Kenya
1291,Ghana,Kenya
1292,United Kingdom,Ghana
1293,United Kingdom,India
1294,United Kingdom,India
1295,India,Pakistan
1296,Pakistan,Philippines
1297,France,Philippines
1298,France,Laos
1299,Cambodia,Laos
1300,Cambodia,Kenya
1301,Ghana,Kenya
1302,United Kingdom,Ghana
1303,United Kingdom,Guinea-Bissau
1304,Angola,Guinea-Bissau
1305,Angola,Mozambique
1306,United Kingdom,India
1307,United Kingdom,India
1308,India,Pakistan
1309,Pakistan,Philippines
1310,France,Philippines
1311,France,Laos
1312,Cambodia,Laos
1313,Cambodia,Kenya
1314,Ghana,Kenya
1315,United Kingdom,Ghana
1316,United Kingdom,Guinea-Bissau
1317,Angola,Guinea-Bissau
1318,Angola,Mozambique
1319,Mozambique,Russia
1320,Russia,United States of America
1321,Russia,United States of America
1322,United Kingdom,India
1323,United Kingdom,India
1324,India,Pakistan
1325,Pakistan,Philippines
1326,France,Philippines
1327,France,Laos
1328,Cambodia,Laos
1329,Cambodia,Kenya
1330,Ghana,Kenya
1331,United Kingdom,Ghana
1332,United Kingdom,Guinea-Bissau
1333,Angola,Guinea-Bissau
1334,Angola,Mozambique
1335,Mozambique,Russia
1336,Russia,United States of America
1337,Russia,United States of America
1338,United Kingdom,India
1339,United Kingdom,India
1340,India,Pakistan
1341,Pakistan,Philippines
1342,France,Philippines
1343,France,Laos
1344,Cambodia,Laos
1345,Cambodia,Kenya
1346,Ghana,Kenya
1347,United Kingdom,Ghana
1348,United Kingdom,Guinea-Bissau
1349,Angola,Guinea-Bissau
1350,Angola,Mozambique
1351,Mozambique,Russia
1352,Russia,United States of America
1353,Russia,United States of America
1354,United Kingdom,India
1355,India,Pakistan
1356,Pakistan,Philippines
1357,France,Philippines
1358,France,Laos
1359,Cambodia,Laos
1360,Cambodia,Kenya
1361,Ghana,Kenya
1362,United Kingdom,Ghana
1363,United Kingdom,Guinea-Bissau
1364,Angola,Guinea-Bissau
1365,Angola,Mozambique
1366,Mozambique,Russia
1367,Russia,United States of America
1368,Russia,United States of America
1369,Angola,Guinea-Bissau
1370,Angola,Mozambique
1371,Mozambique,Russia
1372,Russia,United States of America
1373,Russia,United States of America
1374,Latvia,Russia
1375,Estonia,Latvia
1376,Estonia,Lithuania
1377,Finland,Lithuania
1378,Finland,Romania
1379,Romania,Russia
1380,Russia,United States of America
1381,Russia,United States of America
1382,Latvia,Russia
1383,Estonia,Latvia
1384,Estonia,Lithuania
1385,Finland,Lithuania
1386,Finland,Romania
1387,Romania,Russia
1388,Albania,Russia
1389,Albania,Bulgaria
1390,Bulgaria,Poland
1391,Poland,Romania
1392,Hungary,Romania
1393,Hungary,Russia
1394,Latvia,Russia
1395,Estonia,Latvia
1396,Estonia,Lithuania
1397,Finland,Lithuania
1398,Finland,Romania
1399,Romania,Russia
1400,Albania,Russia
1401,Albania,Bulgaria
1402,Bulgaria,Poland
1403,Poland,Romania
1404,Hungary,Romania
1405,Hungary,Russia
1406,Mongolia,Russia
1407,China,Mongolia
1408,China,Cuba
1409,Cuba,Russia
1410,Russia,Russia
1411,Latvia,Russia
1412,Estonia,Latvia
1413,Estonia,Lithuania
1414,Finland,Lithuania
1415,Finland,Romania
1416,Romania,Russia
1417,Albania,Russia
1418,Albania,Bulgaria
1419,Bulgaria,Poland
1420,Poland,Romania
1421,Hungary,Romania
1422,Hungary,Russia
1423,Mongolia,Russia
1424,China,Mongolia
1425,China,Cuba
1426,Cuba,Russia
1427,Russia,Russia
1428,Latvia,Russia
1429,Estonia,Latvia
1430,Estonia,Lithuania
1431,Finland,Lithuania
1432,Finland,Romania
1433,Romania,Russia
1434,Albania,Russia
1435,Albania,Bulgaria
1436,Bulgaria,Poland
1437,Poland,Romania
1438,Hungary,Romania
1439,Hungary,Russia
1440,Mongolia,Russia
1441,China,Mongolia
1442,China,Cuba
1443,Cuba,Russia
1444,Russia,Russia
1445,China,Russia
1446,China,United States of America
1447,Estonia,Latvia
1448,Estonia,Lithuania
1449,Finland,Lithuania
1450,Finland,Romania
1451,Romania,Russia
1452,Albania,Russia
1453,Albania,Bulgaria
1454,Bulgaria,Poland
1455,Poland,Romania
1456,Hungary,Romania
1457,Hungary,Russia
1458,Mongolia,Russia
1459,China,Mongolia
1460,China,Cuba
1461,Cuba,Russia
1462,Russia,Russia
1463,China,Russia
1464,China,United States of America
1465,Japan,United States of America
1466,Japan,Russia
1467,United States of America,Russia
1468,United States of America,Canada
1469,Australia,Canada
1470,Albania,Bulgaria
1471,Bulgaria,Poland
1472,Poland,Romania
1473,Hungary,Romania
1474,Hungary,Russia
1475,Mongolia,Russia
1476,China,Mongolia
1477,China,Cuba
1478,Cuba,Russia
1479,Russia,Russia
1480,China,Russia
1481,China,United States of America
1482,Japan,United States of America
1483,Japan,Russia
1484,United States of America,Russia
1485,United States of America,Canada
1486,Australia,Canada
1487,Australia,China
1488,China,Mongolia
1489,China,Cuba
1490,Cuba,Russia
1491,Russia,Russia
1492,China,Russia
1493,China,United States of America
1494,Japan,United States of America
1495,Japan,Russia
1496,United States of America,Russia
1497,United States of America,Canada
1498,Australia,Canada
1499,Australia,China
1500,China,France
1501,France,Vietnam
1502,China,United States of America
1503,Japan,United States of America
1504,Japan,Russia
1505,United States of America,Russia
1506,United States of America,Canada
1507,Australia,Canada
1508,Australia,China
1509,China,France
1510,France,Vietnam
1511,China,United States of America
1512,Japan,United States of America
1513,Japan,Russia
1514,United States of America,Russia
1515,United States of America,Canada
1516,Australia,Canada
1517,Australia,China
1518,China,France
1519,France,Vietnam
1520,United States of America,Vietnam
1521,United States of America,United States of America
1522,United States of America,United States of America
1523,United States of America,United States of America
1524,Japan,Russia
1525,United States of America,Russia
1526,United States of America,Canada
1527,Australia,Canada
1528,Australia,China
1529,China,France
1530,France,Vietnam
1531,United States of America,Vietnam
1532,United States of America,United States of America
1533,United States of America,United States of America
1534,United States of America,United States of America
1535,United States of America,United States of America
1536,China,France
1537,France,Vietnam
1538,United States of America,Vietnam
1539,United States of America,United States of America
1540,United States of America,United States of America
1541,United States of America,United States of America
1542,United States of America,United States of America
1543,United States of America,United States of America
1544,France,Vietnam
1545,United States of America,Vietnam
1546,United States of America,United States of America
1547,United States of America,United States of America
1548,United States of America,United States of America
1549,United States of America,United States of America
1550,United States of America,United States of America
1551,United States of America,Cambodia
1552,Cambodia,United States of America
1553,United States of America,United States of America
1554,United States of America,United States of America
1555,United States of America,United States of America
1556,United States of America,United States of America
1557,United States of America,United States of America
1558,United States of America,Cambodia
1559,Cambodia,United States of America
1560,United States of America,United States of America
1561,United States of America,United States of America
1562,United States of America,United States of America
1563,United States of America,United States of America
1564,United States of America,United States of America
1565,United States of America,Cambodia
1566,Cambodia,United States of America
1567,United States of America,Vietnam
1568,United States of America,United States of America
1569,United States of America,Cambodia
1570,Cambodia,United States of America
1571,United States of America,Vietnam
1572,Cuba,Vietnam
1573,Cuba,Russia
1574,United States of America,Cambodia
1575,Cambodia,United States of America
1576,United States of America,Vietnam
1577,Cuba,Vietnam
1578,Cuba,Russia
1579,Cuba,Russia
1580,Cambodia,United States of America
1581,United States of America,Vietnam
1582,Cuba,Vietnam
1583,Cuba,Russia
1584,Cuba,Russia
1585,Cuba,Russia
1586,Russia,United States of America
1587,United States of America,Vietnam
1588,Cuba,Vietnam
1589,Cuba,Russia
1590,Cuba,Russia
1591,Cuba,Russia
1592,Russia,United States of America
1593,Cuba,Vietnam
1594,Cuba,Russia
1595,Cuba,Russia
1596,Cuba,Russia
1597,Russia,United States of America
1598,United States of America,United States of America
1599,Russia,United States of America
1600,Russia,Russia
1601,United States of America,Russia
1602,Cuba,Russia
1603,Cuba,Russia
1604,Cuba,Russia
1605,Russia,United States of America
1606,United States of America,United States of America
1607,Russia,United States of America
1608,Russia,Russia
1609,United States of America,Russia
1610,Russia,United States of America
1611,Cuba,Russia
1612,Russia,United States of America
1613,United States of America,United States of America
1614,Russia,United States of America
1615,Russia,Russia
1616,United States of America,Russia
1617,Russia,United States of America
1618,Russia,United States of America
1619,United States of America,United States of America
1620,Russia,United States of America
1621,Russia,Russia
1622,United States of America,Russia
1623,Russia,United States of America
1624,Russia,United States of America
1625,Russia,Russia
1626,United States of America,Russia
1627,Russia,United States of America
1628,Russia,Russia
1629,Japan,Russia
1630,Russia,United States of America
1631,Russia,Russia
1632,United States of America,Russia
1633,Russia,United States of America
1634,Russia,Russia
1635,Japan,Russia
1636,Russia,United States of America
1637,Russia,Russia
1638,Japan,Russia
1639,Japan,Russia
1640,United States of America,Russia
1641,Japan,Russia
1642,Japan,Russia
1643,United States of America,Russia
1644,Russia,United States of America
1645,Japan,Russia
1646,Japan,Russia
1647,United States of America,Russia
1648,Russia,United States of America
1649,Russia,Russia
1650,Japan,Russia
1651,Japan,Russia
1652,United States of America,Russia
1653,Russia,United States of America
1654,Russia,Russia
1655,United States of America,Russia
1656,Russia,United States of America
1657,Russia,Russia
1658,United States of America,Russia
1659,Russia,United States of America
1660,Russia,Russia
1661,Russia,Russia
1662,China,United States of America
1663,China,United States of America
1664,China,United States of America
1665,China,United States of America
1666,China,India
1667,China,United States of America
1668,China,India
1669,China,United States of America
1670,China,India
1671,China,United States of America
1672,China,India
1673,China,India
1674,China,India
1675,India,South Africa
1676,Rwanda,South Africa
1677,Rwanda,South Africa
1678,Rwanda,South Africa
1679,Rwanda,South Africa
1680,Rwanda,South Africa
1681,Austria,United Kingdom
1682,Austria,United Kingdom
1683,Austria,United Kingdom
1684,Finland,Russia
1685,Finland,Russia
1686,Finland,Russia
1687,Finland,Germany
1688,Finland,Russia
1689,Finland,Germany
1690,Finland,Russia
1691,Finland,Germany
1692,Finland,Russia
1693,Finland,Germany
1694,Finland,Germany
1695,Finland,Germany
1696,United Kingdom,Germany
1697,United Kingdom,Germany
1698,Germany,Norway
1699,United Kingdom,Germany
1700,Germany,Norway
1701,Germany,Norway
1702,Germany,Norway
1703,Germany,Norway
1704,Germany,Norway
1705,France,Italy
1706,France,Italy
1707,France,Italy
1708,France,Italy
1709,Greece,Italy
1710,Greece,Italy
1711,Greece,Italy
1712,United Kingdom,Germany
1713,United Kingdom,Germany
1714,United Kingdom,Germany
1715,United Kingdom,Germany
1716,France,Italy
1717,Italy,Japan
1718,Italy,Japan
1719,Italy,Japan
1720,Italy,Japan
1721,Italy,Japan
1722,Italy,Japan
1723,Japan,United States of America
1724,Japan,United States of America
1725,Japan,Russia
1726,Japan,Russia
1727,Japan,Russia
1728,India,Pakistan
1729,India,Pakistan
1730,India,Pakistan
1731,India,Pakistan
1732,India,Pakistan
1733,India,Pakistan
1734,Philippines,United States of America
1735,Philippines,United States of America
1736,Philippines,United States of America
1737,France,United States of America
1738,Philippines,United States of America
1739,France,United States of America
1740,Philippines,United States of America
1741,France,United States of America
1742,Philippines,United States of America
1743,France,United States of America
1744,Romania,Russia
1745,Romania,Russia
1746,Romania,Russia
1747,Romania,Russia
1748,Romania,Russia
1749,Romania,Russia
1750,India,Lebanon
1751,India,Lebanon
1752,India,Singapore
1753,India,Singapore
1754,India,Singapore
1755,India,Singapore
1756,India,Singapore
